Frame,Time,Cursor Position X,Cursor Position Y,Cursor Position Z,Cursor Velocity X,Cursor Velocity Y,Cursor Velocity Z
1,0,0,0,0,0,0,0
2,0.02,0.02090778,-0.110058,-0.05710865,0,0,0
3,0.2850018,0.02090778,-0.110058,-0.05710865,0,0,0
4,0.2998512,0.02090778,-0.110058,-0.05710865,0,0,0
5,0.3043783,0.02090778,-0.110058,-0.05710865,0,0,0
6,0.3061084,0.02090778,-0.110058,-0.05710865,0,0,0
7,0.3068283,0.02090778,-0.110058,-0.05710865,0,0,0
8,0.3074798,0.02090778,-0.110058,-0.05710865,0,0,0
9,0.3081591,0.02090778,-0.110058,-0.05710865,0,0,0
10,0.3088332,0.02090778,-0.110058,-0.05710865,0,0,0
11,0.3094792,0.02090778,-0.110058,-0.05710865,0,0,0
12,0.3101499,0.02090778,-0.110058,-0.05710865,0,0,0
13,0.3107689,0.02090778,-0.110058,-0.05710865,0,0,0
14,0.3114684,0.02090778,-0.110058,-0.05710865,0,0,0
15,0.312124,0.02090778,-0.110058,-0.05710865,0,0,0
16,0.3128251,0.02090778,-0.110058,-0.05710865,0,0,0
17,0.313486,0.02090778,-0.110058,-0.05710865,0,0,0
18,0.3141705,0.02090778,-0.110058,-0.05710865,0,0,0
19,0.3148532,0.02090778,-0.110058,-0.05710865,0,0,0
20,0.3155532,0.02090778,-0.110058,-0.05710865,0,0,0
21,0.3162118,0.02090778,-0.110058,-0.05710865,0,0,0
22,0.3169711,0.02090778,-0.110058,-0.05710865,0,0,0
23,0.3176233,0.02090778,-0.110058,-0.05710865,0,0,0
24,0.318297,0.02090778,-0.110058,-0.05710865,0,0,0
25,0.3189268,0.02090778,-0.110058,-0.05710865,0,0,0
26,0.3195467,0.02090778,-0.110058,-0.05710865,0,0,0
27,0.3201753,0.02090778,-0.110058,-0.05710865,0,0,0
28,0.321341,0.02090778,-0.110058,-0.05710865,0,0,0
29,0.3220131,0.02090778,-0.110058,-0.05710865,0,0,0
30,0.3227005,0.02090778,-0.110058,-0.05710865,0,0,0
31,0.3233348,0.02090778,-0.110058,-0.05710865,0,0,0
32,0.3239708,0.02090778,-0.110058,-0.05710865,0,0,0
33,0.3246281,0.02090778,-0.110058,-0.05710865,0,0,0
34,0.3253114,0.02090778,-0.110058,-0.05710865,0,0,0
35,0.3259909,0.02090778,-0.110058,-0.05710865,0,0,0
36,0.3266739,0.02090778,-0.110058,-0.05710865,0,0,0
37,0.3273606,0.02090778,-0.110058,-0.05710865,0,0,0
38,0.3279967,0.02090778,-0.110058,-0.05710865,0,0,0
39,0.3286484,0.02090778,-0.110058,-0.05710865,0,0,0
40,0.3293122,0.02090778,-0.110058,-0.05710865,0,0,0
41,0.3300123,0.02090778,-0.110058,-0.05710865,0,0,0
42,0.3306964,0.02090778,-0.110058,-0.05710865,0,0,0
43,0.3314169,0.02090778,-0.110058,-0.05710865,0,0,0
44,0.3321401,0.02090778,-0.110058,-0.05710865,0,0,0
45,0.3328553,0.02090778,-0.110058,-0.05710865,0,0,0
46,0.3335006,0.02090778,-0.110058,-0.05710865,0,0,0
47,0.3341529,0.02090778,-0.110058,-0.05710865,0,0,0
48,0.3347892,0.02090778,-0.110058,-0.05710865,0,0,0
49,0.3354141,0.02090778,-0.110058,-0.05710865,0,0,0
50,0.3360691,0.02090778,-0.110058,-0.05710865,0,0,0
51,0.3367003,0.02090778,-0.110058,-0.05710865,0,0,0
52,0.3374382,0.02090778,-0.110058,-0.05710865,0,0,0
53,0.3381325,0.02090778,-0.110058,-0.05710865,0,0,0
54,0.3388532,0.02090778,-0.110058,-0.05710865,0,0,0
55,0.3396185,0.02090778,-0.110058,-0.05710865,0,0,0
56,0.3403224,0.02090778,-0.110058,-0.05710865,0,0,0
57,0.3414343,0.02090778,-0.110058,-0.05710865,0,0,0
58,0.3420866,0.02090778,-0.110058,-0.05710865,0,0,0
59,0.3427972,0.02090778,-0.110058,-0.05710865,0,0,0
60,0.3434316,0.02090778,-0.110058,-0.05710865,0,0,0
61,0.3441057,0.02090778,-0.110058,-0.05710865,0,0,0
62,0.3447656,0.02090778,-0.110058,-0.05710865,0,0,0
63,0.345467,0.02090778,-0.110058,-0.05710865,0,0,0
64,0.3462306,0.02090778,-0.110058,-0.05710865,0,0,0
65,0.3470626,0.02090778,-0.110058,-0.05710865,0,0,0
66,0.3477293,0.02090778,-0.110058,-0.05710865,0,0,0
67,0.3484264,0.02090778,-0.110058,-0.05710865,0,0,0
68,0.3490682,0.02090778,-0.110058,-0.05710865,0,0,0
69,0.3497278,0.02090778,-0.110058,-0.05710865,0,0,0
70,0.3503488,0.02090778,-0.110058,-0.05710865,0,0,0
71,0.3510609,0.02090778,-0.110058,-0.05710865,0,0,0
72,0.3518329,0.02090778,-0.110058,-0.05710865,0,0,0
73,0.352567,0.02090778,-0.110058,-0.05710865,0,0,0
74,0.3532594,0.02090778,-0.110058,-0.05710865,0,0,0
75,0.3538919,0.02090778,-0.110058,-0.05710865,0,0,0
76,0.3545043,0.02090778,-0.110058,-0.05710865,0,0,0
77,0.3551275,0.02090778,-0.110058,-0.05710865,0,0,0
78,0.3557504,0.02090778,-0.110058,-0.05710865,0,0,0
79,0.3563659,0.02090778,-0.110058,-0.05710865,0,0,0
80,0.3570018,0.02090778,-0.110058,-0.05710865,0,0,0
81,0.3576316,0.02090778,-0.110058,-0.05710865,0,0,0
82,0.3582749,0.02090778,-0.110058,-0.05710865,0,0,0
83,0.3589118,0.02090778,-0.110058,-0.05710865,0,0,0
84,0.359567,0.02090778,-0.110058,-0.05710865,0,0,0
85,0.3602198,0.02090778,-0.110058,-0.05710865,0,0,0
