Frame,Time,Cursor Position X,Cursor Position Y,Cursor Position Z,Cursor Velocity X,Cursor Velocity Y,Cursor Velocity Z
1,0,0,0,0,0,0,0
2,0.02,0.06685665,0.0871765,-0.2643792,-0.09455886,-0.09455886,0.01163631
3,0.3522685,0.07310702,0.08571161,-0.2625397,0.01834417,0.01834417,-0.00113629
4,0.3633799,0.07310702,0.08571161,-0.2625397,0.01834417,0.01834417,-0.00113629
5,0.3677897,0.07310702,0.08571161,-0.2625397,0.01834417,0.01834417,-0.00113629
6,0.3687042,0.07310702,0.08571161,-0.2625397,0.01834417,0.01834417,-0.00113629
7,0.3694005,0.07310702,0.08571161,-0.2625397,0.01834417,0.01834417,-0.00113629
8,0.3703377,0.07310702,0.08571161,-0.2625397,0.01834417,0.01834417,-0.00113629
9,0.3710972,0.07310702,0.08571161,-0.2625397,0.01834417,0.01834417,-0.00113629
10,0.373878,0.07310702,0.08571161,-0.2625397,0.01834417,0.01834417,-0.00113629
11,0.3795079,0.07310702,0.08571161,-0.2625397,0.01834417,0.01834417,-0.00113629
12,0.3802405,0.07310702,0.08571161,-0.2625397,0.01834417,0.01834417,-0.00113629
13,0.3815585,0.07310702,0.08571161,-0.2625397,0.01834417,0.01834417,-0.00113629
14,0.382388,0.07310702,0.08571161,-0.2625397,0.01834417,0.01834417,-0.00113629
15,0.3830895,0.07310702,0.08571161,-0.2625397,0.01834417,0.01834417,-0.00113629
16,0.3840036,0.07310702,0.08571161,-0.2625397,0.01834417,0.01834417,-0.00113629
17,0.3847192,0.07310702,0.08571161,-0.2625397,0.01834417,0.01834417,-0.00113629
18,0.3854084,0.07310702,0.08571161,-0.2625397,0.01834417,0.01834417,-0.00113629
19,0.3860612,0.07310702,0.08571161,-0.2625397,0.01834417,0.01834417,-0.00113629
20,0.3867609,0.07310702,0.08571161,-0.2625397,0.01834417,0.01834417,-0.00113629
21,0.3874263,0.07310702,0.08571161,-0.2625397,0.01834417,0.01834417,-0.00113629
22,0.388069,0.07310702,0.08571161,-0.2625397,0.01834417,0.01834417,-0.00113629
23,0.3887009,0.07310702,0.08571161,-0.2625397,0.01834417,0.01834417,-0.00113629
24,0.389341,0.07310702,0.08571161,-0.2625397,0.01834417,0.01834417,-0.00113629
25,0.3899668,0.07310702,0.08571161,-0.2625397,0.01834417,0.01834417,-0.00113629
26,0.3906085,0.07310702,0.08571161,-0.2625397,0.01834417,0.01834417,-0.00113629
27,0.3913778,0.07310702,0.08571161,-0.2625397,0.01834417,0.01834417,-0.00113629
28,0.3921935,0.07310702,0.08571161,-0.2625397,0.01834417,0.01834417,-0.00113629
29,0.3928449,0.07310702,0.08571161,-0.2625397,0.01834417,0.01834417,-0.00113629
30,0.393509,0.07310702,0.08571161,-0.2625397,0.01834417,0.01834417,-0.00113629
31,0.3941596,0.07310702,0.08571161,-0.2625397,0.01834417,0.01834417,-0.00113629
32,0.3947836,0.07310702,0.08571161,-0.2625397,0.01834417,0.01834417,-0.00113629
33,0.3954888,0.07310702,0.08571161,-0.2625397,0.01834417,0.01834417,-0.00113629
34,0.3961549,0.07310702,0.08571161,-0.2625397,0.01834417,0.01834417,-0.00113629
35,0.3967826,0.07310702,0.08571161,-0.2625397,0.01834417,0.01834417,-0.00113629
36,0.3974988,0.07310702,0.08571161,-0.2625397,0.01834417,0.01834417,-0.00113629
37,0.3981588,0.07310702,0.08571161,-0.2625397,0.01834417,0.01834417,-0.00113629
38,0.398802,0.07310702,0.08571161,-0.2625397,0.01834417,0.01834417,-0.00113629
39,0.3994489,0.07310702,0.08571161,-0.2625397,0.01834417,0.01834417,-0.00113629
40,0.4001787,0.07310702,0.08571161,-0.2625397,0.01834417,0.01834417,-0.00113629
41,0.4009601,0.07310702,0.08571161,-0.2625397,0.01834417,0.01834417,-0.00113629
42,0.4016697,0.07310702,0.08571161,-0.2625397,0.01834417,0.01834417,-0.00113629
43,0.4023407,0.07310702,0.08571161,-0.2625397,0.01834417,0.01834417,-0.00113629
44,0.4029782,0.07310702,0.08571161,-0.2625397,0.01834417,0.01834417,-0.00113629
45,0.4036083,0.07310702,0.08571161,-0.2625397,0.01834417,0.01834417,-0.00113629
46,0.4042541,0.07310702,0.08571161,-0.2625397,0.01834417,0.01834417,-0.00113629
47,0.4048781,0.07310702,0.08571161,-0.2625397,0.01834417,0.01834417,-0.00113629
48,0.405509,0.07310702,0.08571161,-0.2625397,0.01834417,0.01834417,-0.00113629
49,0.4063229,0.07310702,0.08571161,-0.2625397,0.01834417,0.01834417,-0.00113629
50,0.4070483,0.07310702,0.08571161,-0.2625397,0.01834417,0.01834417,-0.00113629
51,0.4077739,0.07310702,0.08571161,-0.2625397,0.01834417,0.01834417,-0.00113629
52,0.4084418,0.07310702,0.08571161,-0.2625397,0.01834417,0.01834417,-0.00113629
53,0.4092075,0.07310702,0.08571161,-0.2625397,0.01834417,0.01834417,-0.00113629
54,0.4098611,0.07310702,0.08571161,-0.2625397,0.01834417,0.01834417,-0.00113629
55,0.4104968,0.07310702,0.08571161,-0.2625397,0.01834417,0.01834417,-0.00113629
56,0.4111548,0.07310702,0.08571161,-0.2625397,0.01834417,0.01834417,-0.00113629
57,0.4118653,0.07310702,0.08571161,-0.2625397,0.01834417,0.01834417,-0.00113629
58,0.4126651,0.07310702,0.08571161,-0.2625397,0.01834417,0.01834417,-0.00113629
59,0.4133612,0.07310702,0.08571161,-0.2625397,0.01834417,0.01834417,-0.00113629
60,0.4140087,0.07310702,0.08571161,-0.2625397,0.01834417,0.01834417,-0.00113629
61,0.4147292,0.07310702,0.08571161,-0.2625397,0.01834417,0.01834417,-0.00113629
62,0.4153662,0.07310702,0.08571161,-0.2625397,0.01834417,0.01834417,-0.00113629
63,0.419158,0.07310702,0.08571161,-0.2625397,0.01834417,0.01834417,-0.00113629
64,0.420227,0.07310702,0.08571161,-0.2625397,0.01834417,0.01834417,-0.00113629
65,0.4210925,0.07310702,0.08571161,-0.2625397,0.01834417,0.01834417,-0.00113629
66,0.4218245,0.07310702,0.08571161,-0.2625397,0.01834417,0.01834417,-0.00113629
67,0.4226522,0.07310702,0.08571161,-0.2625397,0.01834417,0.01834417,-0.00113629
68,0.4233807,0.07310702,0.08571161,-0.2625397,0.01834417,0.01834417,-0.00113629
69,0.4241789,0.07310702,0.08571161,-0.2625397,0.01834417,0.01834417,-0.00113629
70,0.4249273,0.07310702,0.08571161,-0.2625397,0.01834417,0.01834417,-0.00113629
