Frame,Time,Cursor Position X,Cursor Position Y,Cursor Position Z,Cursor Velocity X,Cursor Velocity Y,Cursor Velocity Z
1,0,0,0,0,0,0,0
2,0.02,0.1117968,0.09577971,-0.170449,0,0,0
3,0.3533334,0.1126634,0.09643795,-0.1721512,0.00239259,0.00239259,-0.01692936
4,0.3685762,0.1138014,0.09679393,-0.1743866,0,0,0
5,0.3776948,0.1138014,0.09679393,-0.1743866,0,0,0
6,0.3788951,0.1138014,0.09679393,-0.1743866,0,0,0
7,0.3797062,0.1138014,0.09679393,-0.1743866,0,0,0
8,0.38054,0.1138014,0.09679393,-0.1743866,0,0,0
9,0.3814677,0.1138014,0.09679393,-0.1743866,0,0,0
10,0.3852324,0.1138014,0.09679393,-0.1743866,0,0,0
11,0.3861551,0.1138014,0.09679393,-0.1743866,0,0,0
12,0.3871957,0.1138014,0.09679393,-0.1743866,0,0,0
13,0.3879291,0.1138014,0.09679393,-0.1743866,0,0,0
14,0.3886218,0.1138014,0.09679393,-0.1743866,0,0,0
15,0.3893023,0.1138014,0.09679393,-0.1743866,0,0,0
16,0.3908211,0.1138014,0.09679393,-0.1743866,0,0,0
17,0.3916474,0.1138014,0.09679393,-0.1743866,0,0,0
18,0.3924492,0.1138014,0.09679393,-0.1743866,0,0,0
19,0.3932828,0.1138014,0.09679393,-0.1743866,0,0,0
20,0.3942106,0.1138014,0.09679393,-0.1743866,0,0,0
21,0.3950979,0.1138014,0.09679393,-0.1743866,0,0,0
22,0.3959014,0.1138014,0.09679393,-0.1743866,0,0,0
23,0.396757,0.1138014,0.09679393,-0.1743866,0,0,0
24,0.3975543,0.1138014,0.09679393,-0.1743866,0,0,0
25,0.3983707,0.1138014,0.09679393,-0.1743866,0,0,0
26,0.3992798,0.1138014,0.09679393,-0.1743866,0,0,0
27,0.4001622,0.1138014,0.09679393,-0.1743866,0,0,0
28,0.4010275,0.1138014,0.09679393,-0.1743866,0,0,0
29,0.40184,0.1138014,0.09679393,-0.1743866,0,0,0
30,0.4079902,0.1138014,0.09679393,-0.1743866,0,0,0
31,0.4091513,0.1138014,0.09679393,-0.1743866,0,0,0
32,0.4099939,0.1138014,0.09679393,-0.1743866,0,0,0
33,0.4107344,0.1138014,0.09679393,-0.1743866,0,0,0
34,0.4114311,0.1138014,0.09679393,-0.1743866,0,0,0
35,0.4120755,0.1138014,0.09679393,-0.1743866,0,0,0
36,0.4127146,0.1138014,0.09679393,-0.1743866,0,0,0
37,0.4134611,0.1138014,0.09679393,-0.1743866,0,0,0
38,0.4141792,0.1138014,0.09679393,-0.1743866,0,0,0
39,0.4150262,0.1138014,0.09679393,-0.1743866,0,0,0
40,0.4157339,0.1138014,0.09679393,-0.1743866,0,0,0
41,0.4164931,0.1138014,0.09679393,-0.1743866,0,0,0
42,0.4171588,0.1138014,0.09679393,-0.1743866,0,0,0
43,0.417802,0.1138014,0.09679393,-0.1743866,0,0,0
44,0.4184541,0.1138014,0.09679393,-0.1743866,0,0,0
45,0.4192342,0.1138014,0.09679393,-0.1743866,0,0,0
46,0.4200768,0.1138014,0.09679393,-0.1743866,0,0,0
47,0.4210289,0.1138014,0.09679393,-0.1743866,0,0,0
48,0.4235066,0.1138014,0.09679393,-0.1743866,0,0,0
49,0.4243287,0.1138014,0.09679393,-0.1743866,0,0,0
50,0.4251764,0.1138014,0.09679393,-0.1743866,0,0,0
51,0.4259847,0.1138014,0.09679393,-0.1743866,0,0,0
52,0.4267972,0.1138014,0.09679393,-0.1743866,0,0,0
53,0.4276437,0.1138014,0.09679393,-0.1743866,0,0,0
54,0.4285159,0.1138014,0.09679393,-0.1743866,0,0,0
55,0.429338,0.1138014,0.09679393,-0.1743866,0,0,0
56,0.4302188,0.1138014,0.09679393,-0.1743866,0,0,0
57,0.4310452,0.1138014,0.09679393,-0.1743866,0,0,0
58,0.4318891,0.1138014,0.09679393,-0.1743866,0,0,0
59,0.4327242,0.1138014,0.09679393,-0.1743866,0,0,0
60,0.4335593,0.1138014,0.09679393,-0.1743866,0,0,0
61,0.4343883,0.1138014,0.09679393,-0.1743866,0,0,0
62,0.4352314,0.1138014,0.09679393,-0.1743866,0,0,0
63,0.4415385,0.1138014,0.09679393,-0.1743866,0,0,0
64,0.4424798,0.1138014,0.09679393,-0.1743866,0,0,0
65,0.4432561,0.1138014,0.09679393,-0.1743866,0,0,0
66,0.4439327,0.1138014,0.09679393,-0.1743866,0,0,0
67,0.4447639,0.1138014,0.09679393,-0.1743866,0,0,0
68,0.4455024,0.1138014,0.09679393,-0.1743866,0,0,0
69,0.446254,0.1138014,0.09679393,-0.1743866,0,0,0
70,0.4469332,0.1138014,0.09679393,-0.1743866,0,0,0
71,0.4476447,0.1138014,0.09679393,-0.1743866,0,0,0
72,0.4483689,0.1138014,0.09679393,-0.1743866,0,0,0
73,0.4492132,0.1138014,0.09679393,-0.1743866,0,0,0
74,0.4500561,0.1138014,0.09679393,-0.1743866,0,0,0
75,0.4509068,0.1138014,0.09679393,-0.1743866,0,0,0
76,0.4517483,0.1138014,0.09679393,-0.1743866,0,0,0
77,0.4525937,0.1138014,0.09679393,-0.1743866,0,0,0
78,0.4534043,0.1138014,0.09679393,-0.1743866,0,0,0
79,0.4542933,0.1138014,0.09679393,-0.1743866,0,0,0
80,0.4568026,0.1138014,0.09679393,-0.1743866,0,0,0
81,0.4575735,0.1138014,0.09679393,-0.1743866,0,0,0
82,0.4583347,0.1138014,0.09679393,-0.1743866,0,0,0
83,0.4591967,0.1138014,0.09679393,-0.1743866,0,0,0
84,0.4601097,0.1138014,0.09679393,-0.1743866,0,0,0
85,0.460951,0.1138014,0.09679393,-0.1743866,0,0,0
86,0.4617842,0.1138014,0.09679393,-0.1743866,0,0,0
87,0.4626071,0.1138014,0.09679393,-0.1743866,0,0,0
88,0.4634703,0.1138014,0.09679393,-0.1743866,0,0,0
89,0.464338,0.1138014,0.09679393,-0.1743866,0,0,0
90,0.465159,0.1138014,0.09679393,-0.1743866,0,0,0
91,0.4660091,0.1138014,0.09679393,-0.1743866,0,0,0
92,0.4667831,0.1138014,0.09679393,-0.1743866,0,0,0
93,0.4676724,0.1138014,0.09679393,-0.1743866,0,0,0
94,0.4685473,0.1138014,0.09679393,-0.1743866,0,0,0
95,0.4747123,0.1138014,0.09679393,-0.1743866,0,0,0
96,0.4755162,0.1138014,0.09679393,-0.1743866,0,0,0
97,0.4763751,0.1138014,0.09679393,-0.1743866,0,0,0
98,0.477272,0.1138014,0.09679393,-0.1743866,0,0,0
99,0.4779556,0.1138014,0.09679393,-0.1743866,0,0,0
100,0.4785889,0.1138014,0.09679393,-0.1743866,0,0,0
101,0.4792356,0.1138014,0.09679393,-0.1743866,0,0,0
102,0.4798636,0.1138014,0.09679393,-0.1743866,0,0,0
103,0.4804913,0.1138014,0.09679393,-0.1743866,0,0,0
104,0.4812216,0.1138014,0.09679393,-0.1743866,0,0,0
105,0.4818901,0.1138014,0.09679393,-0.1743866,0,0,0
106,0.4826815,0.1138014,0.09679393,-0.1743866,0,0,0
107,0.4833562,0.1138014,0.09679393,-0.1743866,0,0,0
108,0.4840547,0.1138014,0.09679393,-0.1743866,0,0,0
109,0.4849379,0.1138014,0.09679393,-0.1743866,0,0,0
110,0.4857934,0.1138014,0.09679393,-0.1743866,0,0,0
111,0.4865446,0.1138014,0.09679393,-0.1743866,0,0,0
112,0.4873832,0.1138014,0.09679393,-0.1743866,0,0,0
113,0.4898864,0.1138014,0.09679393,-0.1743866,0,0,0
