Frame,Time,Cursor Position X,Cursor Position Y,Cursor Position Z,Cursor Velocity X,Cursor Velocity Y,Cursor Velocity Z
1,0,0,0,0,0,0,0
2,0.02,0.05090867,-0.1077258,-0.05145872,0,0,0
3,0.2457188,0.05090867,-0.1077258,-0.05145872,0,0,0
4,0.2523034,0.05090867,-0.1077258,-0.05145872,0,0,0
5,0.254028,0.05090867,-0.1077258,-0.05145872,0,0,0
6,0.2551988,0.05090867,-0.1077258,-0.05145872,0,0,0
7,0.2558321,0.05090867,-0.1077258,-0.05145872,0,0,0
8,0.2564289,0.05090867,-0.1077258,-0.05145872,0,0,0
9,0.2570471,0.05090867,-0.1077258,-0.05145872,0,0,0
10,0.2576418,0.05090867,-0.1077258,-0.05145872,0,0,0
11,0.2582017,0.05090867,-0.1077258,-0.05145872,0,0,0
12,0.2589572,0.05090867,-0.1077258,-0.05145872,0,0,0
13,0.260176,0.05090867,-0.1077258,-0.05145872,0,0,0
14,0.2612249,0.05090867,-0.1077258,-0.05145872,0,0,0
15,0.2622667,0.05090867,-0.1077258,-0.05145872,0,0,0
16,0.2633262,0.05090867,-0.1077258,-0.05145872,0,0,0
17,0.2643988,0.05090867,-0.1077258,-0.05145872,0,0,0
18,0.2672658,0.05090867,-0.1077258,-0.05145872,0,0,0
19,0.2682927,0.05090867,-0.1077258,-0.05145872,0,0,0
20,0.2695169,0.05090867,-0.1077258,-0.05145872,0,0,0
21,0.2704434,0.05090867,-0.1077258,-0.05145872,0,0,0
22,0.27147,0.05090867,-0.1077258,-0.05145872,0,0,0
23,0.2726662,0.05090867,-0.1077258,-0.05145872,0,0,0
24,0.2737383,0.05090867,-0.1077258,-0.05145872,0,0,0
25,0.2747439,0.05090867,-0.1077258,-0.05145872,0,0,0
26,0.2758403,0.05090867,-0.1077258,-0.05145872,0,0,0
27,0.2768858,0.05090867,-0.1077258,-0.05145872,0,0,0
28,0.277905,0.05090867,-0.1077258,-0.05145872,0,0,0
